,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,2.0,2.0,1.3040774015203869,1.3040774015203869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,5.0,0.0,1.0,0.0,1.0
1,1.0,2.0,0.9067472230561392,0.9067472230561392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.5,0.0,3.0,0.0,2.0,0.0,2.0
2,1.0,2.0,0.9788665719889091,0.9788665719889091,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,3.0,0.0,2.0,0.0,2.0
3,2.0,2.0,1.002160850131723,1.002160850131723,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.75,0.0,2.0,0.0,1.0,0.0,2.0
4,1.0,2.0,1.100756023457924,1.100756023457924,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.4,0.0,5.0,0.0,1.0,0.0,2.0
5,2.0,2.0,1.0770886908677708,1.0770886908677708,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,115.66666666666667,0.0,5.0,0.0,2.0,0.0,1.0
6,2.0,2.0,1.1093207449708724,1.1093207449708724,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.16666666666666666,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,115.0,0.0,5.0,0.0,1.0,0.0,2.0
7,1.0,2.0,1.0659566794662365,1.0659566794662365,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.14285714285714285,0.125,0.0,0.0,0.0,0.125,0.0,0.0,116.125,0.0,3.0,0.0,2.0,0.0,1.0
8,2.0,2.0,1.054804554295899,1.054804554295899,0.0,0.0,0.125,0.125,0.0,0.0,0.125,0.125,0.0,0.25,0.0,0.125,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,117.33333333333333,0.0,4.0,0.0,2.0,0.0,1.0
9,2.0,2.0,1.0601351299650315,1.0601351299650315,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.0,0.1111111111111111,0.1,0.0,0.0,0.0,0.1,0.0,0.0,118.1,0.0,5.0,0.0,1.0,0.0,2.0
10,2.0,1.0,1.0217702704619267,1.0217702704619267,0.0,0.0,0.1,0.1,0.0,0.0,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,123.0,118.1,3.0,0.0,2.0,0.0,2.0,0.0
11,2.0,1.0,0.9993044299119979,0.9993044299119979,0.0,0.0,0.09090909090909091,0.18181818181818182,0.0,0.0,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.0,0.09090909090909091,0.1,0.0,0.0,0.0,0.1,0.0,121.0,118.1,4.0,0.0,2.0,0.0,2.0,0.0
12,2.0,1.0,0.9879799358641012,0.9879799358641012,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.25,0.08333333333333333,0.0,0.16666666666666666,0.0,0.08333333333333333,0.1,0.0,0.0,0.0,0.1,0.0,116.33333333333333,118.1,1.0,0.0,2.0,0.0,1.0,0.0
13,1.0,1.0,0.9615846278495193,0.9615846278495193,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0,0.23076923076923078,0.07692307692307693,0.0,0.15384615384615385,0.0,0.07692307692307693,0.1,0.25,0.0,0.0,0.1,0.25,117.5,118.1,4.0,0.0,1.0,0.0,2.0,0.0
14,1.0,1.0,0.9641360284365218,0.9641360284365218,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.21428571428571427,0.07142857142857142,0.0,0.14285714285714285,0.0,0.07142857142857142,0.1,0.4,0.0,0.0,0.1,0.4,119.6,118.1,2.0,0.0,2.0,0.0,2.0,0.0
15,2.0,1.0,0.9819011736787812,0.9819011736787812,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.2,0.06666666666666667,0.0,0.13333333333333333,0.0,0.06666666666666667,0.1,0.5,0.0,0.16666666666666666,0.1,0.3333333333333333,116.5,118.1,3.0,0.0,2.0,0.0,1.0,0.0
16,2.0,2.0,0.9892955603367173,0.9892955603367173,0.0,0.0,0.125,0.125,0.0,0.0,0.25,0.0625,0.0625,0.125,0.0,0.0625,0.09090909090909091,0.5,0.0,0.16666666666666666,0.09090909090909091,0.3333333333333333,116.5,118.45454545454545,0.0,4.0,0.0,2.0,0.0,1.0
17,1.0,2.0,0.9730889501001149,0.9730889501001149,0.0,0.0,0.11764705882352941,0.11764705882352941,0.0,0.0,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705,0.08333333333333333,0.5,0.0,0.16666666666666666,0.08333333333333333,0.3333333333333333,116.5,117.5,0.0,4.0,0.0,2.0,0.0,1.0
