,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0,2.0,0.8463125322331099,0.8463125322331099,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,2.0,0.0,2.0,0.0,1.0
1,2.0,2.0,1.481025641025641,1.481025641025641,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,5.0,0.0,1.0,0.0,2.0
2,2.0,2.0,1.0750341422418324,1.0750341422418324,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.66666666666667,0.0,2.0,0.0,2.0,0.0,2.0
3,2.0,2.0,1.0770760184440968,1.0770760184440968,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.25,0.0,2.0,0.0,1.0,0.0,2.0
4,2.0,2.0,1.0716200089989634,1.0716200089989634,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.2,0.0,2.0,0.0,2.0,0.0,1.0
5,2.0,1.0,1.0725604031346403,1.0725604031346403,0.0,0.0,0.0,0.4,1.0,0.0,0.2,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.2,1.0,0.0,1.0,0.0,0.0,0.0
6,1.0,1.0,1.0586920165478395,1.0586920165478395,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,134.0,117.2,4.0,0.0,2.0,0.0,1.0,0.0
7,1.0,1.0,1.0443035922707824,1.0443035922707824,0.0,0.0,0.14285714285714285,0.2857142857142857,0.3333333333333333,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,124.0,117.2,2.0,0.0,1.0,0.0,2.0,0.0
8,1.0,1.0,1.0321903748194332,1.0321903748194332,0.0,0.0,0.125,0.25,0.25,0.0,0.125,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,121.0,117.2,2.0,0.0,2.0,0.0,1.0,0.0
9,1.0,1.0,1.0303933523009532,1.0303933523009532,0.0,0.0,0.2222222222222222,0.2222222222222222,0.2,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,122.75,117.2,4.0,0.0,2.0,0.0,0.0,0.0
