F1,F2,F3,F4,F5,F6,point_victor
0.445517352,1.797813514,32.78936997,0.321159679,0,0,0
0.438653509,1.037395522,36.75860949,0,0,0,1
0.419792194,1.08449584,38.31179017,0.160579839,0,0,0
0.40169759,1.42922869,39.95125867,0.107053226,0.123317024,0.134631178,1
0.402158354,2.213096236,39.69239523,0.08028992,0.057170323,0.201946767,1
0.414038165,2.166197128,38.65694144,0.064231936,0.04455901,0.161557414,0
0.388447516,2.165995918,38.50901948,0.053526613,0.01120502,0.201946767,1
0.409403762,1.4294299,38.22550236,0.045879954,0.105509184,0.135409259,0
0.46629788,1.060845076,38.88704229,0.04014496,0.091707385,0.118483101,1
0.464196257,1.4294299,38.79500194,0.035684409,0.081081658,0.105318312,1
0.469411738,-3.417822449,88.52206308,0.032115968,0.069441748,-0.253409984,0
0.482347007,-3.80810313,92.51798764,0.029196334,0.059918185,-0.098721168,1
0.507472888,-3.43628454,92.36999045,0.026763306,0.051981882,-0.050267544,1
0.517782745,-4.150770769,93.18397506,0.024704591,0.04526655,-0.048128088,0
0.521006689,-3.778952179,93.84996249,0.022939977,0.03951055,-0.034346318,0
0.524257961,-3.06446595,91.85200021,0.021410645,0.034522017,-0.025620266,1
0.524902888,-2.349979721,92.13742338,0.02007248,0.030157051,-0.019708978,0
0.525382944,-3.778952179,91.90749917,0.018891746,0.066166836,-0.031025835,0
0.525239693,1.452678244,92.33423162,0.017842205,0.047686114,-0.009098473,1
0.500846693,2.165995918,92.71860463,0.016903141,0.046654919,-0.01073681,1
0.497885016,1.821263068,92.69869206,0.016057984,0.045510741,-0.012211312,0
0.521644967,1.4294299,93.00212175,0.015293318,0.044313823,-0.013545386,1
0.524750591,1.452879454,92.7128521,0.014598167,0.043102227,-0.01475818,1
0.544204818,-3.035315,92.09003052,0.027926929,0.039692676,-0.011395863,0
0.547478314,-3.40713359,91.76936991,0.026763306,0.036567254,-0.008835198,0
0.546129615,-3.0936169,92.07209148,0.025692774,0.033691866,-0.04665199,0
0.581079966,-3.46543549,92.36135872,0.024704591,0.031037662,-0.052378915,0
0.558221678,2.510929978,92.38868321,0.023789606,0.030787406,-0.037466447,1
0.541118983,2.534580742,92.67673223,0.022939977,0.030453005,-0.038043924,1
0.547494772,1.797813514,92.56844948,0.022148943,0.030059582,-0.038581576,1
0.544552562,1.797813514,92.52606249,0.032115968,0.029625566,-0.039083383,0
0.535822432,1.452879454,92.33259613,0.031079969,0.029164587,-0.039552817,0
0.522478717,0.692461462,92.27260556,0.04014496,0.028686778,-0.039992911,0
0.530907976,1.797612304,91.99842696,0.038928446,0.028199705,-0.040406332,1
0.52622986,2.189646682,92.00320178,0.037783492,0.027709024,-0.040795434,1
0.528473855,-3.760490088,91.7015152,0.036703963,0.026259249,-0.03703647,0
0.531607118,-3.40713359,90.8086529,0.035684409,0.024890017,-0.03384653,1
0.534865483,-3.43628454,91.07081938,0.034719965,0.023594797,-0.031109383,0
0.535379174,-2.663496411,91.35571402,0.033806282,0.022367746,-0.0287381,0
0.552894042,-3.40713359,91.18921716,0.032939454,0.021203622,-0.026666397,0
0.560772088,2.166197128,91.09292496,0.032115968,0.030306193,-0.016848913,1
0.536444289,2.534580742,91.18381479,0.031332652,0.038934775,-0.017361393,1
0.530714431,2.510929978,91.20133784,0.030586636,0.03831824,-0.008232956,1
0.532250726,1.821263068,91.07694574,0.029875319,0.037707917,-0.00892197,0
0.54260177,1.08449584,90.92445826,0.029196334,0.045513713,-0.009579666,1
0.544634472,-3.046003859,91.29445126,0.028547527,0.044081851,-0.008104765,0
0.531227926,-3.075154809,91.29445126,0.027926929,0.042712245,-0.006823947,1
0.545218975,-2.70333622,91.57876169,0.027332739,0.041400919,-0.02740959,0
0.549851899,-3.06446595,91.19085323,0.026763306,0.040144232,-0.025545551,1
0.563367448,-2.320828771,90.94560069,0.026217117,0.04648886,-0.015630017,1
0.578827108,-2.663496411,90.72264386,0.025692774,0.045180682,0.013224822,1
0.58133432,1.821263068,90.74729754,0.025188995,0.04457622,0.012681905,1
0.58145003,1.821263068,90.597732,0.024704591,0.043976606,0.01215987,0
0.574597325,1.452879454,90.70276187,0.024238466,0.043383311,0.011657534,1
0.577486335,2.534580742,90.72572558,0.023789606,0.042797486,0.011173803,0
0.575570406,2.534580742,90.89372534,0.023357068,0.042220017,0.010707662,1
0.578676381,1.476329008,90.88941864,0.028674971,0.041651579,0.01025817,0
0.578895314,1.821263068,90.8952195,0.028171902,0.047583042,0.009824448,1
0.576767233,2.166197128,90.65142218,0.027686179,0.058605588,0.004857135,0
0.574470813,1.452879454,90.74729754,0.027216922,0.069246012,5.82053E-05,0
0.561976877,1.797813514,90.81996095,0.047545124,0.068230068,0.006547729,1
0.56924948,2.534580742,90.96854833,0.046573515,0.067240463,0.006203275,1
0.570157656,2.166197128,91.12696392,0.045642701,0.06627644,0.005869933,1
0.572049604,-3.0936169,91.2515624,0.04523159,0.06501421,-0.011446668,0
0.565942911,-3.0936169,91.2547797,0.044833327,0.063791425,-0.02759782,0
0.564650418,-2.663496411,91.36429765,0.044447318,0.073031507,-0.026272038,0
0.568635273,-3.388671498,91.44831453,0.044073006,0.071724302,-0.025052175,0
0.567796127,1.844712622,91.55691089,0.043228337,0.066472138,-0.019189691,1
0.56728053,2.166197128,91.45488884,0.04241728,0.065651444,-0.019439243,1
0.556721435,1.821263068,91.42985295,0.041637768,0.06484735,-0.02350498,0
0.53795362,1.452879454,91.46086548,0.045475906,0.064059626,-0.023685755,0
0.538028869,1.844712622,91.55185991,0.044689345,0.059363855,-0.018172798,1
0.538976978,2.510929978,91.42130269,0.048391446,0.058693385,-0.018422609,0
0.539168769,1.452879454,91.35505025,0.051997902,0.05803482,-0.018665577,0
0.535763536,1.4294299,91.46413396,0.06665699,0.057388075,-0.018901978,0
0.536638728,-3.046003859,91.60770388,0.066194057,0.05637764,-0.017840673,0
0.533666164,-3.760490088,91.77273251,0.065743306,0.055393796,-0.016862375,0
0.537278025,-3.06446595,91.62017876,0.065304264,0.054435507,-0.019384593,0
0.538416709,-3.417822449,91.37419719,0.06899391,0.053501788,-0.018503509,0
0.558476251,1.08449584,91.31681873,0.06787306,0.052967107,-0.01866794,0
0.564882622,2.534580742,91.29625055,0.066790007,0.052440161,-0.018828261,1
